         21065184 function calls (20204408 primitive calls) in 1464.394 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6323 1328.995    0.210 1328.995    0.210 {method 'acquire' of '_thread.lock' objects}
        1    0.145    0.145    0.169    0.169 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/serialization.py:574(_save)
        5    0.143    0.029  640.157  128.031 /fs04/sq58/Code/base_mammo/train/train_loader.py:121(stratified_train)
    71354    0.141    0.000    0.141    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/cbook/__init__.py:1697(<dictcomp>)
        1    0.139    0.139    0.146    0.146 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/cuda/__init__.py:490(_raw_device_count_nvml)
    24712    0.133    0.000    0.561    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/font_manager.py:658(__init__)
    80500    0.128    0.000    0.442    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/module.py:1675(_named_members)
     4012    0.127    0.000    3.802    0.001 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/axis.py:57(__init__)
       53    0.124    0.002    0.124    0.002 {method 'normal_' of 'torch._C._TensorBase' objects}
   155830    0.123    0.000    0.123    0.000 {built-in method torch._C._get_tracing_state}
    70625    0.123    0.000    0.137    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/contextlib.py:81(__init__)
   146166    0.120    0.000    0.122    0.000 {built-in method builtins.hasattr}
    43460    0.119    0.000    7.273    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/conv.py:462(forward)
   765794    0.115    0.000    0.115    0.000 {function RcParams.__getitem__ at 0x7f9653e42cb0}
    43460    0.111    0.000    2.208    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/functional.py:2419(batch_norm)
    24390    0.106    0.000    0.179    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/utils/data/sampler.py:152(__iter__)
    14995    0.104    0.000    2.399    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/artist.py:760(set_clip_path)
    40800    0.103    0.000    0.269    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:767(__init__)
   803248    0.099    0.000    0.099    0.000 {method 'items' of 'dict' objects}
   179568    0.096    0.000    0.117    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
        1    0.096    0.096    0.096    0.096 {built-in method posix.putenv}
     2130    0.094    0.000    0.094    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
4580/3900    0.093    0.000    5.093    0.001 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/axis.py:830(reset_ticks)
   126776    0.090    0.000    0.116    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/module.py:1799(named_children)
   157371    0.088    0.000    0.311    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/artist.py:406(pchanged)
   111518    0.088    0.000    0.088    0.000 {method 'copy' of 'numpy.ndarray' objects}
   193974    0.088    0.000    0.088    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:107(__init__)
   691433    0.087    0.000    0.087    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/artist.py:833(get_animated)
      960    0.087    0.000    0.163    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/pytorch_grad_cam/utils/image.py:162(scale_cam_image)
    12455    0.082    0.000    0.084    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/functional.py:2402(_verify_batch_size)
       80    0.082    0.001    0.165    0.002 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/pytorch_grad_cam/utils/image.py:33(show_cam_on_image)
    32397    0.081    0.000    0.081    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/cbook/__init__.py:184(__init__)
    39960    0.078    0.000    0.166    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:1900(__init__)
    25252    0.078    0.000    0.088    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/font_manager.py:826(set_weight)
      480    0.077    0.000    0.203    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/pytorch_grad_cam/base_cam.py:42(get_cam_image)
      510    0.075    0.000    0.075    0.000 {method 'unbind' of 'torch._C._TensorBase' objects}
70625/69516    0.075    0.000    0.370    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/contextlib.py:107(__enter__)
    42194    0.075    0.000    0.215    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:2351(__init__)
    20806    0.074    0.000    0.572    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/markers.py:295(_set_marker)
       80    0.073    0.001    7.063    0.088 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/pytorch_grad_cam/base_cam.py:149(forward_augmentation_smoothing)
     9849    0.073    0.000    1.251    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/text.py:115(__init__)
